Date,Close/Last,Volume,Open,High,Low
11/21/2022,$13.30 ,2902708,$13.70 ,$13.79 ,$13.02 
11/18/2022,$13.95 ,2219633,$14.77 ,$14.77 ,$13.67 
11/17/2022,$14.36 ,2674204,$14.01 ,$14.66 ,$13.84 
11/16/2022,$14.57 ,3973474,$15.05 ,$15.05 ,$14.29 
11/15/2022,$15.52 ,5377130,$16.21 ,$16.38 ,$15.14 
11/14/2022,$15.36 ,4589791,$16.61 ,$16.73 ,$15.32 
11/11/2022,$16.94 ,5326616,$15.60 ,$17.40 ,$15.40 
11/10/2022,$16.28 ,10644840,$15.65 ,$16.40 ,$14.90 
11/9/2022,$13.74 ,7823069,$14.83 ,$14.83 ,$13.20 
11/8/2022,$15.18 ,3510010,$14.97 ,$15.80 ,$14.32 
11/7/2022,$14.94 ,2831761,$15.12 ,$15.28 ,$14.33 
11/4/2022,$14.84 ,2813276,$15.68 ,$15.81 ,$14.38 
11/3/2022,$15.29 ,2597150,$15.69 ,$16.03 ,$15.26 
11/2/2022,$16.07 ,2620368,$17.24 ,$17.25 ,$15.99 
11/1/2022,$17.12 ,2333293,$17.64 ,$18.56 ,$17.08 
10/31/2022,$16.96 ,1749241,$17.18 ,$17.52 ,$16.74 
10/28/2022,$17.39 ,1446504,$17.37 ,$17.63 ,$16.89 
10/27/2022,$17.58 ,2431525,$18.35 ,$18.84 ,$17.51 
10/26/2022,$17.99 ,1650120,$18.28 ,$18.83 ,$17.82 
10/25/2022,$18.80 ,1862284,$17.82 ,$18.88 ,$17.82 
10/24/2022,$17.67 ,1941152,$17.50 ,$17.98 ,$16.81 
10/21/2022,$17.52 ,2212140,$17.49 ,$17.53 ,$16.47 
10/20/2022,$17.80 ,1855073,$17.43 ,$18.44 ,$17.35 
10/19/2022,$17.44 ,1973346,$18.08 ,$18.26 ,$17.16 
10/18/2022,$18.63 ,2503169,$19.24 ,$19.41 ,$18.06 
10/17/2022,$18.44 ,2229351,$18.56 ,$19.18 ,$18.33 
10/14/2022,$17.83 ,1911393,$19.05 ,$19.14 ,$17.64 
10/13/2022,$18.34 ,2706077,$17.25 ,$18.48 ,$16.79 
10/12/2022,$18.10 ,2043024,$17.69 ,$18.15 ,$17.47 
10/11/2022,$17.77 ,1892992,$18.32 ,$18.39 ,$17.34 
10/10/2022,$18.48 ,1608305,$19.42 ,$19.58 ,$18.44 
10/7/2022,$19.22 ,1895867,$19.84 ,$19.87 ,$18.60 
10/6/2022,$20.54 ,1235631,$20.67 ,$21.17 ,$20.17 
10/5/2022,$20.76 ,1538470,$20.55 ,$21.03 ,$20.23 
10/4/2022,$21.24 ,2654193,$21.04 ,$21.79 ,$20.62 
10/3/2022,$20.42 ,2135247,$19.62 ,$20.52 ,$19.11 
9/30/2022,$19.49 ,2235354,$19.47 ,$20.75 ,$19.35 
9/29/2022,$19.68 ,1713690,$20.61 ,$20.79 ,$19.47 
9/28/2022,$21.37 ,1653909,$20.45 ,$21.55 ,$20.36 
9/27/2022,$20.38 ,1831997,$21.00 ,$21.34 ,$20.22 
9/26/2022,$20.32 ,2326206,$20.12 ,$21.09 ,$19.75 
9/23/2022,$20.21 ,2533009,$19.71 ,$20.48 ,$19.34 
9/22/2022,$19.90 ,2182769,$21.02 ,$21.34 ,$19.89 
9/21/2022,$21.14 ,1688444,$22.01 ,$22.30 ,$21.11 
9/20/2022,$21.78 ,1695823,$22.25 ,$22.71 ,$21.73 
9/19/2022,$22.82 ,1805819,$22.71 ,$22.98 ,$22.22 
9/16/2022,$23.15 ,10604620,$23.61 ,$23.70 ,$22.64 
9/15/2022,$24.39 ,3806064,$24.77 ,$26.15 ,$24.25 
9/14/2022,$25.34 ,3363383,$26.57 ,$26.62 ,$24.46 
9/13/2022,$26.68 ,2576722,$28.02 ,$28.09 ,$26.37 
9/12/2022,$28.51 ,2345759,$28.04 ,$28.66 ,$27.77 
9/9/2022,$27.73 ,1838250,$26.43 ,$27.84 ,$26.10 
9/8/2022,$25.94 ,1401932,$24.95 ,$26.19 ,$24.75 
9/7/2022,$25.36 ,1813004,$24.46 ,$25.53 ,$24.36 
9/6/2022,$24.53 ,2309267,$24.15 ,$24.60 ,$23.50 
9/2/2022,$24.09 ,1834699,$25.48 ,$25.74 ,$23.88 
9/1/2022,$25.05 ,2314066,$24.14 ,$25.13 ,$23.37 
8/31/2022,$24.63 ,1648227,$24.40 ,$25.09 ,$24.40 
8/30/2022,$24.49 ,1366841,$25.36 ,$25.57 ,$24.17 
8/29/2022,$24.94 ,1444274,$25.27 ,$26.12 ,$24.89 
8/26/2022,$25.75 ,1786809,$27.00 ,$27.22 ,$25.64 
8/25/2022,$27.07 ,1529472,$26.65 ,$27.21 ,$25.95 
8/24/2022,$26.40 ,1796311,$26.01 ,$27.11 ,$25.92 
8/23/2022,$26.04 ,2362291,$25.57 ,$26.50 ,$25.51 
8/22/2022,$25.55 ,2710980,$25.92 ,$26.71 ,$25.44 
8/19/2022,$26.93 ,3871785,$28.24 ,$28.37 ,$26.82 
8/18/2022,$28.97 ,3890359,$30.09 ,$30.19 ,$28.64 
8/17/2022,$30.18 ,3407875,$31.95 ,$32.14 ,$30.07 
8/16/2022,$32.63 ,4883848,$33.53 ,$33.53 ,$31.26 
8/15/2022,$33.55 ,4256931,$35.57 ,$36.25 ,$33.01 
8/12/2022,$36.32 ,2653834,$34.88 ,$36.62 ,$34.76 
8/11/2022,$34.46 ,8429892,$38.27 ,$39.78 ,$34.31 
8/10/2022,$40.46 ,5187826,$37.65 ,$40.53 ,$37.31 
8/9/2022,$36.01 ,9262230,$35.08 ,$36.36 ,$33.60 
8/8/2022,$40.14 ,2688984,$36.47 ,$40.56 ,$36.47 
8/5/2022,$36.46 ,2627482,$35.15 ,$37.10 ,$34.74 
8/4/2022,$36.00 ,1857652,$35.93 ,$36.63 ,$35.68 
8/3/2022,$35.82 ,4755862,$34.25 ,$36.18 ,$32.71 
8/2/2022,$34.49 ,1587073,$33.52 ,$34.86 ,$33.47 
8/1/2022,$34.17 ,2248636,$34.98 ,$34.98 ,$33.55 
7/29/2022,$35.54 ,1656064,$35.82 ,$35.82 ,$34.01 
7/28/2022,$35.36 ,1754977,$35.15 ,$36.00 ,$34.22 
7/27/2022,$35.33 ,2733907,$34.51 ,$35.69 ,$34.09 
7/26/2022,$33.40 ,1073115,$34.50 ,$34.71 ,$32.75 
7/25/2022,$35.16 ,1148458,$36.29 ,$36.67 ,$34.71 
7/22/2022,$36.16 ,2363110,$38.00 ,$38.49 ,$35.60 
7/21/2022,$38.12 ,1581983,$37.37 ,$38.33 ,$36.81 
7/20/2022,$37.60 ,2818975,$35.43 ,$38.70 ,$35.32 
7/19/2022,$35.20 ,2000165,$35.42 ,$36.33 ,$34.02 
7/18/2022,$34.33 ,1994259,$33.42 ,$35.35 ,$33.42 
7/15/2022,$32.62 ,1762369,$31.49 ,$32.95 ,$30.69 
7/14/2022,$30.81 ,2646682,$32.86 ,$33.00 ,$30.63 
7/13/2022,$32.94 ,2479063,$32.64 ,$33.60 ,$32.35 
7/12/2022,$34.40 ,1382158,$34.89 ,$36.00 ,$33.93 
7/11/2022,$34.93 ,1802262,$36.85 ,$37.23 ,$34.38 
7/8/2022,$37.39 ,1547108,$36.45 ,$38.26 ,$36.00 
7/7/2022,$37.64 ,1654595,$35.90 ,$37.77 ,$35.88 
7/6/2022,$35.88 ,1715405,$35.45 ,$36.37 ,$34.61 
7/5/2022,$35.36 ,2995951,$34.11 ,$35.49 ,$32.36 
7/1/2022,$34.98 ,2142038,$34.69 ,$36.21 ,$34.12 
6/30/2022,$34.44 ,3003734,$35.52 ,$35.54 ,$33.05 
6/29/2022,$35.55 ,1745682,$36.00 ,$36.79 ,$35.12 
6/28/2022,$36.25 ,1914735,$37.85 ,$38.81 ,$35.62 
6/27/2022,$38.34 ,1732177,$39.37 ,$40.03 ,$37.41 
6/24/2022,$39.63 ,16578560,$38.70 ,$40.47 ,$38.43 
6/23/2022,$38.14 ,2342352,$36.35 ,$38.33 ,$35.97 
6/22/2022,$35.96 ,2253203,$34.35 ,$36.51 ,$34.00 
6/21/2022,$35.04 ,2813178,$34.54 ,$35.87 ,$34.31 
6/17/2022,$33.50 ,4636244,$30.61 ,$33.78 ,$30.61 
6/16/2022,$30.63 ,2978980,$32.33 ,$32.99 ,$30.23 
